first_date,last_date,person,name,allegation,text,corruption,crime,elections,ethics,resolved,sexual-harassment-abuse,unresolved,censure,conviction,exclusion,expulsion,plea,reprimand,resignation,settlement
2013-06-13,2015-01-02,400031,Timothy H. Bishop,soliciting campaign contributions in exchange for constituent services in 2012,In 2013 Bishop was investigated for soliciting campaign contributions in exchange for constituent services in 2012. The House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response.](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-tim-1). Representative Bishop lost the 2014 election.,X,,X,,X,,,,,,,,,,
2014-07-02,2014-11,400318,Thomas E. Petri,performing official work on behalf of companies in which he had a financial interest from 2008 to 2013,In 2014 Petri was investigated for performing official work on behalf of companies in which he had a financial interest from 2008 to 2013. The House Committee on Ethics [recommended no further action](https://www.congress.gov/113/crpt/hrpt666/CRPT-113hrpt666.pdf). Petri announced in November 2014 he would not seek reelection.,,,,X,X,,,,,,,,,,
2011-11-08,2014-12-11,400170,Alcee L. Hastings,sexual harassment and employment retaliation,"In 2012 Hastings was investigated for sexual harassment and employment retaliation. The House Committee on Ethics [concluded that there was insufficient evidence to act further even though the representative admitted to ""less than professional behavior""](https://www.congress.gov/113/crpt/hrpt663/CRPT-113hrpt663-pt1.pdf).",,,,,X,X,,,,,,,,,
2014-12-11,2014,400151,Phil Gingrey,compensation from banks on whose behalf he advocated,"In 2012 Gingrey was investigated for 2011 compensation from banks on whose behalf he advocated. The House Committee on Ethics concluded that Gingrey did advocate for banks in which he had a financial interest and [issued a letter of reproval](https://www.congress.gov/113/crpt/hrpt664/CRPT-113hrpt664.pdf). In 2014, Representative Gingrey lost in the primary for one of Georgia's Senate seats.",,,,X,X,,,,,,,,X,,
2014-12-11,2014-12-11,412379,Judy Chu,using House staff to perform campaign activities and then obstructing the investigation,"In 2014 Chu received a letter of reproval for using House staff to perform campaign activities and then obstructing the investigation. The House Committee on Ethics concluded that the campaign work occured without her knowledge but because Chu attempted to obstruct the investigation, [a letter of reproval was issued](https://www.congress.gov/113/crpt/hrpt665/CRPT-113hrpt665.pdf).",,,X,X,X,,,,,,,,X,,
2014-11-26,2015,412451,Michael G. Grimm,"violating federal campaign finance laws by soliciting and accepting prohibited campaign contributions, causing false information to be included in campaign finance reports, and improperly seeking assistance from a foreign national in soliciting campaign contributions in exchange for offering to use his official position to assist that individual in obtaining a green card. This plea came 3 years after the Office of Congressional Ethics began an investigation of the same allegations","In 2014 Grimm pleaded guilty to tax evasion after having been investigated for violating federal campaign finance laws by soliciting and accepting prohibited campaign contributions, causing false information to be included in campaign finance reports, and improperly seeking assistance from a foreign national in soliciting campaign contributions in exchange for offering to use his official position to assist that individual in obtaining a green card. This plea came three years after the Office of Congressional Ethics began an investigation of the allegations. Grimm resigned in January 2015 and served seven months in prison.",,X,X,,X,,,,,,,X,,X,
2014-06-10,2018-03-22,400350,Bobby L. Rush,allowing state and federal campaign committees to accept in-kind contributions,"In 2014 Rush was investigated for allowing state and federal campaign committees to accept in-kind contributions. With publication of its report, the [House Committee on Ethics reproved Rush](https://www.congress.gov/115/crpt/hrpt618/CRPT-115hrpt618.pdf) for accepting a gift of rent-free office space even if it did not amount to a campaign contribution and ordered him to repay the value of the gift.",,,X,,X,,,,,,,,,,
2014-09-11,2014-09-11,400661,Gwen Moore,an arrest at a 2014 protest in Wisconsin,In 2014 Moore was investigated for an arrest at a 2014 protest in Wisconsin. The House Committee on Ethics concluded that the fines would be paid and [no further investigation was required](https://www.congress.gov/113/crpt/hrpt585/CRPT-113hrpt585.pdf).,,,,X,X,,,,,,,,,,
2014-06-20,2014-06-20,400440,Don Young,improper travel gifts and failure to disclose them,In 2014 Young received a letter of reproval for improper travel gifts and failure to disclose them. The House Committee on Ethics concluded Young had improperly accepted travel gifts and [issued a letter of reproval](https://www.congress.gov/113/crpt/hrpt487/CRPT-113hrpt487.pdf).,,,,X,X,,,,,,,,X,,
2014-03-13,2018-04-12,410396,Steve Stockman,conspiring to accept contributions to his congressional campaign committee from individuals who were employed by his congressional office,Stockman was [convicted of fraud](https://www.texastribune.org/2018/04/12/texas-congressman-steve-stockman-found-guilty-felony-charges/) in 2018 related to personal and other improper use of campaign funds. In 2014 the House began an [investigation](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-stev-0) into conspiring to accept contributions to his congressional campaign committee from individuals who were employed by his congressional office. Stockman lost the 2014 Senate primary and did not win re-election to his House seat.,,,X,X,X,,,,X,,,,,,
2013-12-04,2018-03-22,400163,Luis V. Gutiérrez,"using funds from his Members Representational Allowance from 2003-2013 for an impermissible purpose - to retain an individual to provide services to his congressional office that more closely resemble those provided by an employee or consultant, rather than a contractor","In 2013 Gutiérrez was investigated for using funds from his Members Representational Allowance from 2003-2013 for an impermissible purpose - to retain an individual to provide services to his congressional office that more closely resemble those provided by an employee or consultant, rather than a contractor. In March 2018, the House Committee on Ethics [reproved Gutiérrez for using his Member Representational Allowance inappropriately, albeit possibly unwittingly,](https://www.congress.gov/115/crpt/hrpt617/CRPT-115hrpt617.pdf) and ordered him to reimburse the US Treasury for that use. On November 28, 2017, Representative Gutiérrez announced he would not seek reelection.",,,,X,X,,,,,,,,,,
2013-12-23,2019-12-19,400659,Cathy McMorris Rodgers,"using official resources, including staff, for campaign activities; paying a consultant for official services with funds from political committees; combining official resources and campaign resources in furtherance of a campaign for a House leadership office from 2010 to 2012","In 2013 Rodgers was investigated for using official resources, including staff, for campaign activities, paying a consultant for official services with funds from political committees, and combining official resources and campaign resources in furtherance of a campaign for a House leadership office from 2010 to 2012. As of 2019, the House Committee on Ethics [has yet to conclude its review](https://www.congress.gov/115/crpt/hrpt1125/CRPT-115hrpt1125.pdf). In December 2019, the Committee completed its review. It ordered Rodgers to [reimburse the House $7575.95 and reproved her for her sloppiness in managing her funds](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-cath-1).",,,X,X,X,,,,,,,,,,
2013-12-23,2018-08-10,412568,Markwayne Mullin,"receiving excess outside earned income, endorsing companies or products as part of outside employment and serving as a board member or officer for outside companies","In 2013 Mullin was investigated for receiving excess outside earned income, endorsing companies or products as part of outside employment and serving as a board member or officer of outside companies --- his family's businesses. Because Mullin was already consulting with the House Committee on Ethics about how to handle his relationship with his family's businesses when the Office of Congressional Ethics began its investigation, the House Committee on Ethics concluded that Mullin had been making a good faith effort to be compliant with House rules and [that apart from rectifying a $40,000 accounting error, no further action was warranted](https://ethics.house.gov/press-release/statement-chairwoman-and-ranking-member-committee-ethics-regarding-representative-21).",,,,X,X,,,,,,,,,,
2012-04-02,2015-01-02,400008,Robert E. Andrews,improper use of campaign funds for personal use,"In 2013 Andrews was investigated for improper use of campaign funds for personal use. The House Committee on Ethics [established an independent subcommittee](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-robe-1). In 2014, Andrews resigned from Congress and House Committee on Ethics' jurisdiction over the member ended.",,,X,,X,,,,,,,,,X,
2013,2014,412528,Trey Radel,possession of cocaine,"In 2013 Radel pleaded guilty to possession of cocaine. The House Committee on Ethics [ended the investigation when Radel resigned](https://www.congress.gov/113/crpt/hrpt727/CRPT-113hrpt727.pdf). In 2014, [Radel was sentenced to probation, which he served](http://www.news-press.com/story/news/2014/10/30/ex-congressman-trey-radels-record-cleared/18218925/).",,X,,,X,,,,,,,X,,X,
2013-06-13,2013-11-15,412202,Peter J. Roskam,accepting impermissible travel gifts in 2011,In 2013 Roskam was investigated for accepting impermissible travel gifts in 2011. The House Committee on Ethics [concluded that there was insufficient evidence to show that the travel was improper](https://www.congress.gov/113/crpt/hrpt266/CRPT-113hrpt266.pdf).,,,,X,X,,,,,,,,,,
2012-08-30,2014,412383,William L. Owens,accepting impermissible travel gifts in 2011,"In 2012 Owens was investigated for accepting impermissible travel gifts in 2011. The House Committee on Ethics concluded that the gift was impermissible, but since Owens repaid the funds, [the investigation was closed](https://www.congress.gov/113/crpt/hrpt266/CRPT-113hrpt266.pdf). Owens did not seek reelection in 2014.",,,,X,X,,,,,,,,,,
2010,2014,400407,John F. Tierney,"failing to declare his wife's income of $40,000 to $160,000 from 2007-2010 to Congress and to the IRS because Tierney claimed it was actually a gift from his brother-in-law","In 2013 Tierney was investigated for failing to declare his wife's income of $40,000 to $160,000 from 2007-2010 to Congress and the IRS because Tierney claimed it was actually a gift from his brother-in-law. The House Committee on Ethics concluded that there was insufficient evidence to show that the funds were income and not gifts and that [no further action was needed](https://www.congress.gov/113/crpt/hrpt208/CRPT-113hrpt208.pdf). In 2010, Representative Tierney's wife [pleaded guilty to tax evasion also related to her brother's income](http://www.sandiegouniontribune.com/sdut-rep-tierneys-wife-to-plead-guilty-to-tax-charges-2010oct05-story.html). In 2014, Representative Tierney was defeated in the Democratic primary.",,,,X,X,,,,,,,,,,
2012-08-30,2012-12-31,400337,Silvestre Reyes,improper use of campaign funds for personal use,In 2012 Reyes was investigated for improper use of campaign funds for personal use. The House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response](https://ethics.house.gov/press-release/statement-ot-chairman-and-ranking-member-committee-ethics-regarding-representative). Reyes lost the 2012 election and the House Committe on Ethics' jurisdiction end with the member's term.,,,X,,X,,,,,,,,,,
2012-02-09,2012-11-06,400024,Shelley Berkley,advocating for programs in which she had a financial interest from 2008-2010,"In 2012 Berkley was investigated for advocating for programs in which she had a financial interest from 2008-2010. The House Committee on Ethics [found that the representative had indeed advocated for some programs in which she had a financial interest](https://www.congress.gov/112/crpt/hrpt716/CRPT-112hrpt716.pdf). In 2012, Representative Berkley lost reelection.",,,,X,X,,,,,,,,,,
2011-08-18,2012-12-20,400271,Gregory W. Meeks,failing to disclose a gift in 2007 and receiving a loan on terms not available to the general public in 2010,"In 2011 Meeks was investigated for failing to disclose a gift in 2007 and receiving a loan on terms not available to the general public in 2010. The House Committee on Ethics dismissed the loan allegation, but found the representative [unknowingly failed to properly disclose the gifts](https://www.congress.gov/112/crpt/hrpt709/CRPT-112hrpt709.pdf).",,,,X,X,,,,,,,,,,
2012-12-20,2012-12-20,400352,Tim Ryan,public intoxication,In 2012 Ryan was investigated for charges of public intoxication in 2012. The House Committee on Ethics [concluded no action was required as the charges were dismissed](https://www.congress.gov/112/crpt/hrpt710/CRPT-112hrpt710.pdf).,,,,X,X,,,,,,,,,,
2009-08-06,2013,400198,Jesse L. Jackson Jr.,misuse of campaign funds after a 2009 investigation by the Office of Congressional Ethics had investigated allegations that he had bought his appointment to Congress from Rod Blagojevich,"In 2013, Jackson pleaded guilty to [misuse of campaign funds](http://www.nytimes.com/2013/02/21/us/politics/jesse-l-jackson-jr-pleads-guilty-to-wire-and-mail-fraud.html) after resigning from Congress in 2012. He also said that the 2008 attempt to purchase the former Senate seat of President Obama, for which he was investigated by Congress was done without his knowledge.",,,X,,X,,,,,,,X,,X,
2011-07-22,2011-08-04,400437,Wu,sexual assault,"In July 2011, Wu was [accused of sexual assault](http://www.oregonlive.com/politics/index.ssf/2011/07/rep_david_wu_accused_of_aggres.html) and in Aug. 2011, he resigned.",,,,,X,X,,,,,,,,,
2011-06-27,2020-02-18,400518,Rod Blagojevich,corruption including selling the Senate seat vacated by Barack Obama after Obama won the 2008 presidential election,"In 2011, Blagojevich, a former representative for IL-5, was [convicted of a broad range of corruption](https://www.nytimes.com/2011/06/28/us/28blagojevich.html) as Governor of Illinois which included attempting to sell the appointment to the Senate seat vacated by Barack Obama after Obama won the 2008 presidential election. In 2020, President Trump [commuted Blagojevich's sentence](https://www.npr.org/2020/02/18/807117741/president-trump-offers-clemency-to-blagojevich-kerik-milken-others) and on Feb. 19, 2020, he was released from jail.",X,X,,,X,,,,,,,,,,
2009-07-24,2012-09-25,400422,Maxine Waters,a conflict of interest with respect to meetings with a bank in which she had a financial interest,"In 2009 Waters was investigated for a conflict of interest with respect to meetings with a bank in which she had a financial interest. The House Committee on Ethics [concluded that Representative Waters' chief of staff was at fault for creating the appearance of conflict, but Waters was not](https://www.congress.gov/112/crpt/hrpt690/CRPT-112hrpt690.pdf).",,,,X,X,,,,,,,,,,
2011-11-08,2012-07-10,412196,Vern Buchanan,failing to report positions he held with outside companies and to report unearned income from 2007 to 2010,In 2011 Buchanan was investigated for failing to report positions he held with outside companies and to report unearned income from 2007 to 2010. The House Committee on Ethics [concluded that the representative unknowingly failed to disclose positions in outside companies and unearned income](https://www.congress.gov/112/crpt/hrpt588/CRPT-112hrpt588.pdf). They were satisfied when the representative amended his forms.,,,,X,X,,,,,,,,,,
2012-05-25,2012-05-25,400576,Tom Coburn,meeting with a lobbyist before the one year embargo on former Congressional staffers' lobbying expired,In 2012 Coburn received a qualified admonishment for meeting with a lobbyist before the one year embargo on former Congressional staffers' lobbying expired. The Senate Select Committee on Ethics [issued a qualified admonishment because Coburn acknowledged his error and it was only a single meeting](https://www.ethics.senate.gov/public/index.cfm/letterstomembers?ID=4E526F44-3316-4700-B545-98017020C1FE). The [lobbyist in question](https://en.wikipedia.org/wiki/Tom_Coburn#Affiliation_with_The_Family_and_John_Ensign) was the husband of a Sen. John Ensign staffer with whom Ensign had had an affair. Ensign attempted to placate the husband with a lobbying job and Coburn met with the husband before the lobbying embargo had ended. Coburn retired from the Senate in 2015.,,,,X,X,,,,,,,,X,,
2012-03-30,2014,400418,David Vitter,demanding the issuance Gulf of Mexico deep water permits from the Secretary of the Interior in exchange for dropping his block on a proposed salary increase for the Secretary,"In 2012 Vitter was investigated for demanding the issuance Gulf of Mexico deep water permits from the Secretary of the Interior in exchange for dropping his block on a proposed salary increase for the Secretary. The Senate Select Committee on Ethics [dismissed the charges because there did not appear to be any Senate rule or any law in place prohibiting Vitter's actions](https://www.ethics.senate.gov/public/index.cfm/files/serve?File_id=BA27F460-6CF2-4330-9455-84CF04C8B8E7). In 2014, Senator Vitter lost the election for Louisiana Governor and did not run again for the Senate.",,,,X,X,,,,,,,,,,
2011-06-23,2011-12-20,400440,Don Young,accepting campaign contributions in excess of legal limits,"In 2011 Young was investigated for accepting campaign contributions in excess of legal limits. The House Committee on Ethics [dismissed the allegations, but also changed House rules to prohibit similar contributions in the future ](https://www.congress.gov/112/crpt/hrpt336/CRPT-112hrpt336.pdf).",,,X,,X,,,,,,,,,,
2011-08-05,2017-11-28,400163,Luis V. Gutiérrez,arrest during a protest outside of the White House in 2011,"In 2011 Gutiérrez was investigated for having been arrested during a protest outside of the White House in 2011. The House Committee on Ethics [recommended no action as the fine has been paid](https://www.congress.gov/112/crpt/hrpt192/CRPT-112hrpt192.pdf). On November 28, 2017, Representative Gutiérrez announced he would not seek reelection to Congress.",,,,X,X,,,,,,,,,,
2011-05-18,2012,412010,Jean Schmidt,"receiving over $500,000 in gifts as legal services without having established a legal services fund as required and for failing to properly disclose the gifts","In 2011 Schmidt was investigated for receiving over $500,000 in gifts as legal services without having established a legal services fund as required and for failing to properly disclose the gifts. The House Committee on Ethics [found the legal services were impermissble and that the representative was unaware of this, but that the committee would be satisfied if the representative properly disclosed and paid for the services](https://www.congress.gov/112/crpt/hrpt195/CRPT-112hrpt195.pdf). In 2012, Schmidt lost reelection. When she left office, [she had not paid for those services](https://en.wikipedia.org/wiki/Jean_Schmidt#Legal_Expense_Fund).",,,,X,X,,,,,,,,,,
2010-03-04,2012-12-31,412299,Eric Massa,sexual harassment,"In 2010 Massa was investigated for [sexual harassment](http://www.washingtonpost.com/wp-dyn/content/article/2010/04/13/AR2010041302257.html), at some point after he resigned on March 8, 2010, the Congressional [Office of Compliance](http://abcnews.go.com/Politics/congress-secretly-paid-100000-settle-harassment-claims-disgraced/story?id=51494871) settled with Massa's accusor for $100,000.",,,,,X,X,,,,,,,,X,X
2011-05-03,2011-05-03,300040,John Ensign,violating lobbying rules in order to cover up an affair,"In 2011 Ensign was investigated for violating lobbying rules in order to cover up an affair. The Senate Select Committee on Ethics [referred the matter to the Department of Justice and the Federal Election Commission](https://www.ethics.senate.gov/public/index.cfm/pressreleases?ID=451C2D6E-643F-4026-B7C4-3F6587FCC2DC). Senator Ensign resigned May 3, 2011. The Department of Justice dropped its case in 2010 as did the FEC. However, the FEC reopened it after the Senate's report in 2011 and [levied fines in 2013](https://m.lasvegassun.com/news/2013/may/24/fec-fine-sad-end-sad-sage-ensign/).",,,,X,X,,,,,,,,,X,
2010-11-03,2011-01-26,400087,Joseph Crowley,soliciting campaign contributions from entities affected by legislation then under consideration in 2009,In 2010 Crowley was investigated for soliciting campaign contributions from entities affected by legislation then under consideration in 2009. The House Committee on Ethics [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-member-regarding-representatives-john-campbell).,,,X,,X,,,,,,,,,,
2010-09-01,2017,400626,Tom Price,soliciting campaign contributions from entities affected by legislation then under consideration in 2009,"In 2010 Price was investigated for soliciting campaign contributions from entities affected by legislation then under consideration in 2009. The House Committee on Ethics [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-member-regarding-representatives-john-campbell). In January 2017, Price left Congress to become Heath and Human Services Secretary. On September 29, 2017, [Price resigned](https://www.nytimes.com/2017/09/29/us/politics/tom-price-trump-hhs.html) due to inappropriate use of private and chartered flights while HHS Secretary.",,,X,,X,,,,,,,,,,
2010-09-10,2014,412011,John Campbell,soliciting campaign contributions from entities affected by legislation then under consideration in 2009,"In 2010 Campbell was investigated for soliciting campaign contributions from entities affected by legislation then under consideration in 2009. The House Committee on Ethics [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-member-regarding-representatives-john-campbell). In 2014, Campell announced he would not seek reelection.",,,X,,X,,,,,,,,,,
2010-07-30,2010-12-31,400616,G. K. Butterfield,keeping the difference between his requested travel per diems and the amount he actually spent,In 2010 Butterfield was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives).,,,,X,X,,,,,,,,,,
2010-07-30,2010-12-31,400170,Alcee L. Hastings,keeping the difference between his requested travel per diems and the amount he actually spent,In 2010 Hastings was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives).,,,,X,X,,,,,,,,,,
2010-07-30,2012,400302,Solomon Ortiz,keeping the difference between his requested travel per diems and the amount he actually spent,"In 2010 Ortiz was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives). In 2012, Representative Ortiz lost reelection.",,,,X,X,,,,,,,,,,
2010-07-30,2010-12-31,400433,Joe Wilson,keeping the difference between his requested travel per diems and the amount he actually spent,In 2010 Wilson was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives).,,,,X,X,,,,,,,,,,
2010-07-30,2010-12-31,400004,Robert B. Aderholt,keeping the difference between his requested travel per diems and the amount he actually spent,In 2010 Aderholt was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives).,,,,X,X,,,,,,,,,,
2010-07-30,2010-12-31,400122,Eliot L. Engel,keeping the difference between his requested travel per diems and the amount he actually spent,In 2010 Engel was investigated for keeping the difference between his requested travel per diems and the amount he actually spent. The House Committee on Standards of Official Conduct [recommended no further action](https://ethics.house.gov/press-release/statement-and-report-chair-and-ranking-republican-member-regarding-representatives).,,,,X,X,,,,,,,,,,
2010-11-29,2016,400333,Charles B. Rangel,ethics violations and tax evasion,"The House [voted to censure Rangel for ethics violations and tax evasion on December 2, 2010 by 333-79](https://www.govtrack.us/congress/votes/111-2010/h607). In 2016, Representative Rangel did not seek reelection.",,X,,X,X,,,X,,,,,,,
2009-09-09,2009-09-15,400433,Joe Wilson,"heckled President Obama during an address to Congress by yelling ""You lie!""","In September 2009, Rep. Wilson heckled President Obama during an address to Congress by yelling ""You lie!"". A week later, the [House reprimanded him, 240-179](https://www.govtrack.us/congress/votes/111-2009/h699).",,,,X,X,,,,,,,,,,
2009-08-06,2012,412253,Laura Richardson,"violating gift and financial disclosure rules with respect to her home, its foreclosure and yard work from 2007 to 2008","In 2009 Richardson was investigated for violating gift and financial disclosure rules with respect to her home, its foreclosure and yard work from 2007 to 2008. The House Committee on Standards of Official Conduct [concluded that Representative Richardson did not knowingly receive and/or fail to disclose gifts with respect to her home, its foreclosure or yard work](https://www.congress.gov/112/crpt/hrpt642/CRPT-112hrpt642.pdf). In 2012, Representative Richardson lost her bid for reelection in 2012.",,,,X,X,,,,,,,,,,
2010-02-05,2010-03-21,400099,Nathan Deal,improper influence over state officials to his financial benefit and failure to accurately disclose his earnings,In 2010 Deal was investigated for improper influence over state officials to his financial benefit and failure to accurately disclose his earnings. The House Office of Congressional Ethics [recommended further review](https://oce.house.gov/reports/investigations/oce-referral-regarding-former-rep-deal). Deal subsequently resigned.,,,,X,X,,,,,,,,,X,
2009-06-08,2014,400073,Donna M. Christensen,receiving impermissible travel gifts,"In 2009 Christensen was investigated for receiving impermissible travel gifts. The House Committee on Standards of Official Conduct [concluded Representative Christensen did not knowingly accept impermissble travel gifts](https://www.congress.gov/congressional-report/111th-congress/house-report/422). In 2014, Christensen did not seek reelection.",,,,X,X,,,,,,,,,,
2009-06-08,2010,400217,Carolyn Kilpatrick,receiving impermissible travel gifts,"In 2009 Kilpatrick was investigated for receiving impermissible travel gifts. The House Committee on Standards of Official Conduct [concluded Representative Kilpatrick did not knowingly accept impermissble travel gifts](https://www.congress.gov/congressional-report/111th-congress/house-report/422). In 2010, Representative Kilpatrick lost the Democratic primary.",,,,X,X,,,,,,,,,,
2009-06-08,2010-02-26,400312,Donald Payne,receiving impermissible travel gifts,In 2009 Payne was investigated for receiving impermissible travel gifts. The House Committee on Standards of Official Conduct [concluded Representative Payne did not knowingly accept impermissble travel gifts](https://www.congress.gov/congressional-report/111th-congress/house-report/422).,,,,X,X,,,,,,,,,,
2009-06-08,2010-02-26,400333,Charles B. Rangel,receiving impermissible travel gifts,In 2009 Rangel was investigated for receiving impermissible travel gifts. The House Committee on Standards of Official Conduct [concluded Rangel did knowingly accept impermissble travel gifts and ordered him to repay them](https://www.congress.gov/congressional-report/111th-congress/house-report/422).,,,,X,X,,,,,,,,,,
2009-06-08,2010-02-26,400402,Bennie G. Thompson,receiving impermissible travel gifts,In 2009 Thompson was investigated for receiving impermissible travel gifts. The House Committee on Standards of Official Conduct [concluded Thompson did not knowingly accept impermissble travel gifts](https://www.congress.gov/congressional-report/111th-congress/house-report/422).,,,,X,X,,,,,,,,,,
2009-12-02,2010,400405,Todd Tiahrt,soliciting campaign contributions in exchange for legislative outcomes,"In 2009 Tiahrt was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf). In 2010, Representative Tiahrt ran for the Senate and lost.",X,,X,,X,,,,,,,,,,
2009-12-02,2010-02-26,400417,Peter J. Visclosky,soliciting campaign contributions in exchange for legislative outcomes,In 2009 Visclosky was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf).,X,,X,,X,,,,,,,,,,
2009-12-02,2012,400109,Norman D. Dicks,soliciting campaign contributions in exchange for legislative outcomes,"In 2009 Dicks was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf). In 2012, Dicks did not seek reelection.",X,,X,,X,,,,,,,,,,
2009-12-02,2010-02-26,400211,Marcy Kaptur,soliciting campaign contributions in exchange for legislative outcomes,In 2009 Kaptur was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf).,X,,X,,X,,,,,,,,,,
2009-12-02,2014,400283,James P. Moran,soliciting campaign contributions in exchange for legislative outcomes,"In 2009 Moran was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf). In 2014, Representative Moran announced he would not seek reelection.",X,,X,,X,,,,,,,,,,
2009-12-02,2010-02-26,400286,John Murtha,soliciting campaign contributions in exchange for legislative outcomes,"In 2009 Murtha was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf). On February 8, 2010, Representative Murtha died.",X,,X,,X,,,,,,,,,,
2009-12-02,2013-10-10,400439,C. W. Bill Young,soliciting campaign contributions in exchange for legislative outcomes,"In 2009 Young was investigated for soliciting campaign contributions in exchange for legislative outcomes. The House Committee on Standards of Official Conduct [dismissed the charges](https://www.congress.gov/111/crpt/hrpt423/CRPT-111hrpt423.pdf). On October 18, 2013, Representative Young died.",X,,X,,X,,,,,,,,,,
2009-11-12,2012,400387,Fortney Pete Stark,claiming tax credits for a residence which was not his primary residence,"In 2009 Stark was investigated for claiming tax credits for a residence which was not his primary residence. The House Committee on Standards of Official Conduct [dismissed the charges as Representative Stark neither sought credits improperly nor did he receive them](https://www.congress.gov/111/crpt/hrpt409/CRPT-111hrpt409.pdf). In 2012, Representative Stark announced his retirement from Congress.",,X,,,X,,,,,,,,,,
2009-11-20,2010,412328,Roland Burris,quid pro quo with Rod Blagojevich with respect to Blagojevich's brother's campaign and Burris's senate appointment,"In 2009 Burris received a qualified admonishment for appearing to agree to a quid pro quo with Rod Blagojevich with respect to Blagojevich's brother's campaign and Burris's senate appointment. The Senate Select Committee on Ethics [issued a qualified admonishment because while they did not find evidence of crimes, Burris' own comments were misleading with respect to what he promised in exchange for his senate appointment](https://www.ethics.senate.gov/public/index.cfm/files/serve?File_id=75733369-12F4-4A65-B71C-C71276547255). [Senator Burris served in the Senate only 9 months](https://en.wikipedia.org/wiki/Roland_Burris#Senate_appointment), with Mark Kirk winning the 2010 election.",X,,X,,X,,,,,,,,X,,
2009-08-06,2009-10-29,400158,Sam Graves,inviting improper hearing witnesses,In 2009 Graves was investigated for inviting improper hearing witnesses. The House Committee on Standards of Official Conduct [dismissed the charges as Representative Graves did not act improperly](https://www.congress.gov/111/crpt/hrpt320/CRPT-111hrpt320.pdf).,,,,X,X,,,,,,,,,,
2009-08-07,2012,300026,Kent Conrad,receiving mortgages from Countrywide Financial in violation of Senate gift rules,"In 2009 Conrad was investigated for receiving mortgages from Countrywide Financial in violation of Senate gift rules. The Senate Select Committee on Ethics [dismssed the charges because the loans were not part of a program specifically benefiting senators](https://www.ethics.senate.gov/public/index.cfm/files/serve?File_id=EFD5E787-06EC-4B18-A249-5F0C1F7CC995). In 2012, Conrad did not run for reelection.",,,,X,X,,,,,,,,,,
2009-08-07,2010,300034,Christopher Dodd,receiving mortgages from Countrywide Financial in violation of Senate gift rules,"In 2009 Dodd was investigated for receiving mortgages from Countrywide Financial in violation of Senate gift rules. The Senate Select Committee on Ethics [dismssed the charges because the loans were not part of a program specifically benefiting senators](https://www.ethics.senate.gov/public/index.cfm/letterstomembers?ID=9A93B548-9849-45B1-944B-C224F9A8DF85). In 2010, Senator Dodd did not run for reelection.",,,,X,X,,,,,,,,,,
